Debtor ID,Date,Comment
120307,9/5/2019,Debtor's new cell phone number is 317-555-5555. Can call after 6:00 p.m.
130939,9/5/2019,Corrected SSN number  to 435-55-5555
126783,9/5/2019,New cell phone number is 678-555-5555 and new work number is 404-555-5555
137561,9/5/2019,Through skip tracing found that possible new number is 202-555-5555
139214,9/5/2019,Original SSN was incorrect. Correct one is 312-55-5555.
146995,9/5/2019,Christina's new phone number is 433-444-4444
154539,9/5/2019,Called John 3 times on 8/1/2019 @ 311-111-1234 but the number was disconnected
115511,9/5/2019,333-33-1234 is not the correct Luke's correct SSNs. Debtor has been put in the skip tracing que
193710,9/5/2019,Phone number 223-443-5555 and SSN 443-23-1234 for Tina have been identified as incorrect
188565,9/5/2019,Ivan's number was updated from 345-432-5555 to 345-467-5555
